"espn_id","shark_id","name"
18782,13644,"Javon Wims"
15837,11152,"Mike Glennon"
16943,11649,"Tom Savage"
16345,11600,"Nick Williams"
18095,12685,"Josh Perkins"
13981,10276,"Mark Ingram II"
17683,12150,"Todd Gurley II"
18486,12923,"CJ Ham"
3126246,13871,"Dontrell Hilliard"
17658,12157,"Duke Johnson Jr."
15904,11156,"Landry Jones"
15948,11151,"Matt Barkley"
11923,9319,"Stephen Hauschka"
16733,11679,"Odell Beckham Jr."
18746,13641,"Ray-Ray McCloud III"
14851,10500,"Terrelle Pryor"
15072,10738,"Marvin Jones Jr."
17184,11951,"Willie Snead IV"
18620,13668,"DJ Chark"
15555,11104,"Joshua Bellamy"
17562,12178,"Sammie Coates Jr."
17192,11686,"TJ Jones"
18582,13635,"DJ Moore"
60003,521,"Bears"
60006,516,"Cowboys"
60012,512,"Chiefs"
60034,532,"Texans"
60015,503,"Dolphins"
60010,508,"Titans"
60028,520,"Redskins"
60007,511,"Broncos"
60033,531,"Ravens"
60016,524,"Vikings"
60020,505,"Jets"
60023,510,"Steelers"
60024,514,"Chargers"
60008,522,"Lions"
60002,501,"Bills"
60017,504,"Patriots"
60013,513,"Raiders"
60029,527,"Panthers"
60026,515,"Seahawks"
60025,530,"49ers"
60014,528,"Rams"
60001,526,"Falcons"
60018,529,"Saints"
60009,523,"Packers"
60027,525,"Buccaneers"
60005,507,"Browns"
60004,506,"Bengals"
60011,502,"Colts"
60019,517,"Giants"
60021,518,"Eagles"
60022,519,"Cardinals"
60030,509,"Jaguars"
17934,12656,"Rashard Higgins"
13994,10273,"Cam Newton"
18210,13116,"Patrick Mahomes"
14880,10700,"Kirk Cousins"
8439,7836,"Aaron Rodgers"
8664,8062,"Ryan Fitzpatrick"
17794,12611,"Jared Goff"
2330,5848,"Tom Brady"
18246,13113,"Deshaun Watson"
11237,9099,"Matt Ryan"
18168,13115,"Mitchell Trubisky"
2580,4925,"Drew Brees"
11252,9064,"Joe Flacco"
5529,7394,"Philip Rivers"
8416,7813,"Alex Smith"
18565,13590,"Baker Mayfield"
5536,7401,"Ben Roethlisberger"
14881,10703,"Russell Wilson"
18225,13138,"Kareem Hunt"
12483,9431,"Matthew Stafford"
17907,12620,"Dak Prescott"
14879,10702,"Brock Osweiler"
16757,11644,"Derek Carr"
18268,13125,"C.J. Beathard"
18236,13146,"James Conner"
17797,12625,"Ezekiel Elliott"
18187,13132,"Alvin Kamara"
17586,12151,"Melvin Gordon"
18566,13592,"Sam Darnold"
17178,11938,"Adam Thielen"
18279,13130,"Christian McCaffrey"
15168,10948,"Case Keenum"
17929,12801,"Tyreek Hill"
10452,8658,"Adrian Peterson"
17610,12141,"Marcus Mariota"
16913,11747,"James White"
13982,10271,"Julio Jones"
18592,13610,"Nick Chubb"
14886,10708,"Lamar Miller"
16800,11675,"Davante Adams"
15847,11244,"Travis Kelce"
15795,11232,"DeAndre Hopkins"
18341,13364,"Chris Carson"
13934,9988,"Antonio Brown"
17133,11668,"Isaiah Crowell"
16737,11671,"Mike Evans"
18171,13290,"Tarik Cohen"
17834,12652,"Michael Thomas"
15920,11390,"Latavius Murray"
15880,11228,"Robert Woods"
18415,13164,"Cooper Kupp"
17856,12630,"Kenyan Drake"
18252,13127,"Nathan Peterman"
18424,13378,"Matt Breida"
18314,13319,"Aaron Jones"
18306,13156,"JuJu Smith-Schuster"
17676,12186,"Stefon Diggs"
15818,11222,"Keenan Allen"
16731,11674,"Brandin Cooks"
18602,13612,"Kerryon Johnson"
14993,10868,"Greg Zuerlein"
17919,12634,"Jordan Howard"
17689,12152,"Tevin Coleman"
16790,11680,"Jarvis Landry"
14885,10709,"Doug Martin"
18823,13614,"Phillip Lindsay"
15683,10976,"Justin Tucker"
12514,9448,"LeSean McCoy"
9704,8359,"Stephen Gostkowski"
18104,12956,"Wil Lutz"
13295,9918,"Emmanuel Sanders"
16725,11670,"Sammy Watkins"
17682,12205,"Devin Funchess"
17933,12628,"Alex Collins"
13229,9902,"Rob Gronkowski"
18345,13277,"Kenny Golladay"
14322,10506,"Dan Bailey"
12460,9694,"Graham Gano"
18106,12637,"Peyton Barber"
15705,10960,"Josh Gordon"
16804,11783,"John Brown"
10636,8742,"Mason Crosby"
15966,11186,"Chris Thompson"
18839,13909,"Brett Maher"
17438,12437,"Jason Myers"
15807,11225,"Cordarrelle Patterson"
18409,13354,"Harrison Butker"
14198,10389,"Dion Lewis"
11122,8930,"Matt Prater"
8479,7877,"Frank Gore"
18454,12860,"Ka'imi Fairbairn"
15965,11387,"Dustin Hopkins"
17175,11936,"Chris Boswell"
12649,9662,"Julian Edelman"
18292,13299,"George Kittle"
18885,13898,"Greg Joseph"
12563,9427,"Michael Crabtree"
10475,8687,"Greg Olsen"
9354,8153,"Robbie Gould"
2148,5666,"Sebastian Janikowski"
15839,11239,"Marquise Goodwin"
14221,10527,"Doug Baldwin"
18599,13630,"Courtland Sutton"
13232,9925,"Jimmy Graham"
15918,11384,"Caleb Sturgis"
17173,11966,"Cody Parkey"
12537,9474,"Jared Cook"
15245,11339,"Giorgio Tavecchio"
12731,9686,"Ryan Succop"
17169,11960,"Chandler Catanzaro"
11283,9075,"DeSean Jackson"
18079,12912,"Jalen Richard"
18630,13617,"Royce Freeman"
13216,9884,"Demaryius Thomas"
17171,11947,"Brandon McManus"
16799,11678,"Allen Robinson"
11270,9118,"Jordy Nelson"
18726,13718,"Daniel Carlson"
18458,13404,"Austin Ekeler"
18762,13816,"Trenton Cannon"
17177,11975,"Taylor Gabriel"
17677,12175,"Amari Cooper"
17593,12176,"DeVante Parker"
17619,12187,"Tyler Lockett"
17758,11850,"Quincy Enunwa"
18272,13163,"Chris Godwin"
18685,13768,"Ito Smith"
18097,12930,"Robby Anderson"
16016,11227,"Kenny Stills"
18787,13832,"Jason Sanders"
18584,13629,"Calvin Ridley"
18650,13645,"Tre'Quan Smith"
17832,12626,"Derrick Henry"
18320,13153,"Corey Davis"
14922,10723,"Mohamed Sanu"
18303,13192,"David Njoku"
18664,13640,"Antonio Callaway"
14053,10308,"Randall Cobb"
17861,12677,"Austin Hooper"
18362,13139,"Jamaal Williams"
17700,12164,"Mike Davis"
17616,12159,"Javorius Allen"
14054,10312,"Kyle Rudolph"
18322,13188,"O.J. Howard"
18235,13154,"Mike Williams"
17195,11705,"Trey Burton"
15349,10973,"Cole Beasley"
11674,9308,"Danny Amendola"
13587,10077,"Chris Ivory"
18662,13662,"Keke Coutee"
17810,12648,"Josh Doctson"
15428,11076,"Jermaine Kearse"
15860,11248,"Jordan Reed"
18278,13348,"David Moore"
17756,12505,"Adam Humphries"
16781,11681,"Paul Richardson"
13979,10272,"J.J. Watt"
17762,12391,"Tyrell Williams"
17134,11834,"Alfred Blue"
13395,9966,"Reshad Jones"
16195,11327,"Tony Jefferson"
17680,12221,"Danielle Hunter"
14945,10783,"Harrison Smith"
17875,12767,"Justin Simmons"
16730,11673,"Kelvin Benjamin"
18627,13717,"Justin Reid"
13256,9833,"Jason Pierre-Paul"
16269,11517,"Bradley McDougald"
18610,13639,"Anthony Miller"
12576,9843,"Brandon LaFell"
11439,9250,"Pierre Garcon"
18578,13714,"Derwin James"
18110,12665,"Geronimo Allison"
15009,10870,"Alfred Morris"
15851,11313,"Tyrann Mathieu"
15979,11317,"Jordan Poyer"
5893,7757,"Mike Adams"
18220,13230,"Jamal Adams"
17947,12814,"Jakeem Grant"
16710,11721,"Khalil Mack"
18347,13301,"Damontae Kazee"
17912,12657,"Tajae Sharpe"
18733,13793,"Marquez Valdes-Scantling"
13254,9861,"Kareem Jackson"
5557,7422,"Benjamin Watson"
12716,9549,"Glover Quin"
15865,11350,"D.J. Swearinger"
18356,13257,"Justin Evans"
15853,11257,"Vance McDonald"
18224,13167,"Taywan Taylor"
14402,10983,"Chris Hogan"
17863,12714,"Kendall Fuller"
18223,13176,"Zay Jones"
15994,11188,"Theo Riddick"
18614,13738,"Donte Jackson"
12527,9465,"Patrick Chung"
17708,12269,"Damarious Randall"
10481,8713,"Eric Weddle"
16716,11757,"Aaron Donald"
5362,7236,"Antonio Gates"
13973,10280,"Ryan Kerrigan"
17846,12750,"James Bradberry"
13236,9846,"Devin McCourty"
18672,13649,"DaeSean Hamilton"
14297,10610,"Ron Parker"
13213,9898,"LeGarrette Blount"
17627,12349,"Quandre Diggs"
16734,11706,"Jadeveon Clowney"
15921,11177,"Kenjon Barner"
17848,12752,"Kevin Byard"
17811,12645,"Laquon Treadwell"
13971,10292,"Cameron Jordan"
13645,10122,"Darian Stewart"
17842,12748,"Sean Davis"
15960,11382,"Micah Hyde"
18259,13252,"Marcus Maye"
18167,13198,"Myles Garrett"
18568,13707,"Denzel Ward"
15124,10851,"Josh Norman"
18451,12917,"Maurice Harris"
16769,11742,"Lamarcus Joyner"
17761,12471,"Seth Roberts"
16039,11498,"Jahleel Addae"
17647,12308,"Adrian Amos"
17571,12311,"Bobby McCain"
17845,12718,"Vonn Bell"
15861,11316,"Logan Ryan"
17559,12222,"Trey Flowers"
17577,12248,"Trae Waynes"
18391,13287,"Tedric Thompson"
17873,12680,"Nick Vannett"
13373,9828,"Everson Griffen"
14032,10289,"Torrey Smith"
17576,12280,"Frank Clark"
17479,12268,"Byron Jones"
17801,12715,"Eli Apple"
18156,12940,"Kentrell Brice"
17583,12208,"Jeff Heuerman"
18186,13229,"Eddie Jackson"
10913,9028,"Brent Grimes"
17230,11838,"E.J. Gaines"
17710,12291,"Steven Nelson"
18197,13253,"Marcus Williams"
14193,10300,"Jacquizz Rodgers"
18640,13646,"Michael Gallup"
18586,13716,"Terrell Edmunds"
18020,12448,"Quinton Dunbar"
18282,13224,"Marshon Lattimore"
18393,13250,"Kevin King"
17815,12739,"Kenny Clark"
16715,11764,"Kyle Fuller"
15812,11312,"Desmond Trufant"
5432,8958,"Tramon Williams"
18834,12910,"Erik Harris"
13272,9912,"Ed Dickson"
17319,11965,"Malcolm Butler"
16717,11768,"Jimmie Ward"
18315,13249,"Tre'Davious White"
13249,9820,"Joe Haden"
18222,13205,"Takkarist McKinley"
15810,11314,"Xavier Rhodes"
17233,11806,"Nevin Lawson"
17320,12015,"K'Waun Williams"
14047,10335,"Jurrell Casey"
18622,13710,"Carlton Davis"
14320,10554,"Mario Addison"
14403,10674,"Andre Holmes"
14086,10393,"Richard Sherman"
15863,11348,"Darius Slay"
18180,13248,"Gareon Conley"
14942,10789,"Stephon Gilmore"
17633,12245,"Marcus Peters"
18085,12938,"Brian Poole"
14139,10379,"Buster Skrine"
14018,10324,"Marcus Gilchrist"
15887,11399,"Ryan Griffin"
16002,11367,"Kyle Juszczyk"
17819,12691,"Emmanuel Ogbah"
17825,12742,"Xavien Howard"
13281,9904,"Linval Joseph"
14984,10823,"Akiem Hicks"
14145,10409,"Charles Clay"
18191,13266,"Ahkello Witherspoon"
17663,12218,"Arik Armstead"
17624,12270,"Preston Smith"
13975,10264,"Prince Amukamara"
18297,13325,"Xavier Woods"
17690,12211,"Jesse James"
18134,13022,"Trevor Williams"
13977,10266,"Cameron Heyward"
18601,13672,"Mike Gesicki"
18377,13264,"Josh Jones"
18184,13208,"Jonathan Allen"
13245,9853,"Jerry Hughes"
17612,12281,"Jordan Richards"
18374,13236,"Gerald Everett"
14943,10777,"Morris Claiborne"
12703,9646,"Captain Munnerlyn"
15817,11351,"Robert Alford"
18192,13231,"Jabrill Peppers"
16719,11735,"Bradley Roby"
9592,8247,"Vernon Davis"
17799,12688,"DeForest Buckner"
16750,11781,"Phillip Gaines"
17908,12629,"Devontae Booker"
18296,13316,"Trent Taylor"
17767,12447,"Raheem Mostert"
17638,12257,"Chris Conley"
18291,13232,"Desmond King"
18270,13223,"Marlon Humphrey"
17835,12698,"Jarran Reed"
14966,10793,"Casey Hayward"
16886,11688,"Martavis Bryant"
18666,13679,"Chris Herndon"
18645,13671,"Mark Andrews"
14959,10755,"Vinny Curry"
15062,10737,"Travis Benjamin"
18177,13265,"Larry Ogunjobi"
17750,12465,"Cameron Meredith"
17950,12817,"Anthony Brown"
14946,10766,"Bruce Irvin"
17589,12305,"Grady Jarrett"
16798,11707,"Stephon Tuitt"
13984,10269,"Robert Quinn"
11366,9191,"Orlando Scandrick"
15845,11212,"Justin Hunter"
18673,13683,"Da'Shawn Hand"
13234,9815,"Ndamukong Suh"
17713,12378,"Geoff Swaim"
17784,12110,"Cameron Brate"
15862,11333,"Kawann Short"
18015,12523,"Justin Coleman"
12417,9425,"Cameron Wake"
18830,13868,"Mike Boone"
17824,12741,"Chris Jones"
18573,13713,"Minkah Fitzpatrick"
13963,10294,"Jimmy Smith"
18284,13157,"Curtis Samuel"
16431,11515,"Wes Horton"
16751,11709,"Trent Murphy"
18583,13680,"Hayden Hurst"
13240,9819,"Gerald McCoy"
17611,12261,"Ty Montgomery"
15380,11045,"Damon Harrison"
11363,9188,"Brandon Carr"
16040,11454,"C.J. Anderson"
18590,13593,"Lamar Jackson"
15102,10903,"Rishard Matthews"
18030,12596,"Matt LaCosse"
14977,10808,"Tavon Wilson"
18469,13424,"Taysom Hill"
18576,13688,"Marcus Davenport"
15976,11262,"Alex Okafor"
15811,11283,"Sheldon Richardson"
14020,10275,"Allen Bailey"
14164,10412,"Aldrick Robinson"
18646,13682,"Arden Key"
14964,10806,"Derek Wolfe"
17803,12735,"Sheldon Rankins"
18221,13317,"Davon Godchaux"
14994,10841,"Mike Daniels"
18287,13165,"Ryan Switzer"
16020,11199,"Spencer Ware"
18239,13200,"Taco Charlton"
17742,12386,"Malcolm Brown"
3530,6510,"Julius Peppers"
18699,13691,"Maurice Hurst"
17930,12802,"D.J. Reader"
17280,11790,"Cassius Marsh"
18857,13910,"Brandon Powell"
14944,10763,"Michael Brockers"
9720,8375,"Kyle Williams"
17163,11925,"Allen Hurns"
18585,13608,"Rashaad Penny"
18183,13193,"Jonnu Smith"
17920,12797,"Matt Ioannidis"
18280,13199,"Solomon Thomas"
18227,13197,"Michael Roberts"
15958,11282,"Akeem Spence"
9677,8332,"Frostee Rucker"
17813,12738,"Artie Burns"
18734,13794,"Damion Ratley"
15786,11213,"Tavon Austin"
18825,13628,"Roc Thomas"
17669,12225,"Leonard Williams"
14918,10734,"Jarius Wright"
17883,12773,"Chris Moore"
17833,12697,"A'Shawn Robinson"
18057,12586,"Darius Jennings"
18859,13890,"Jason Croom"
17656,12271,"Eddie Goldman"
13965,10263,"Adrian Clayborn"
17189,11448,"Demetrius Harris"
14987,10819,"Tyrone Crawford"
17804,12717,"Karl Joseph"
17486,12367,"Marcus Murphy"
15875,11360,"Brandon Williams"
17839,12713,"Mackensie Alexander"
18769,13819,"Jordan Thomas"
17915,12857,"DeAndre Washington"
14028,10334,"Stevan Ridley"
18843,13377,"Tim Patrick"
17702,12215,"Randy Gregory"
18012,12536,"David Irving"
18765,13637,"Equanimeous St. Brown"
18471,13435,"Trevon Coley"
18238,13227,"Jourdan Lewis"
16121,11381,"Luke Willson"
17305,11793,"DaQuan Jones"
13340,10026,"Kurt Coleman"
18118,12952,"Michael Pierce"
17483,12363,"Neal Sterling"
14952,10752,"Andre Branch"
17540,12288,"Henry Anderson"
13769,10084,"Sam Shields"
14099,10354,"Luke Stocker"
18638,13746,"Rasheem Green"
17635,12226,"Danny Shelton"
14085,10432,"Virgil Green"
17781,12444,"Rod Smith"
17909,12791,"Dean Lowry"
18423,13367,"Austin Carr"
16143,11529,"Josh Hill"
15090,10861,"Jack Crawford"
18390,13263,"Chidobe Awuzie"
17868,12764,"Javon Hargrave"
17141,11895,"Kapri Bibbs"
17711,12351,"A.J. Derby"
13997,10315,"Brooks Reed"
13989,10285,"Corey Liuget"
17847,12751,"Adam Gotsis"
18016,12428,"Xavier Williams"
14939,10761,"Dontari Poe"
10529,8721,"Brandon Mebane"
17286,11807,"Brent Urban"
16172,11456,"Jaron Brown"
17299,11993,"Zach Kerr"
18500,13434,"Roy Robertson-Harris"
13226,9921,"Andre Roberts"
12895,10143,"Steve McLendon"
17886,12678,"Tyler Higbee"
15800,11263,"Dion Jordan"
17542,12185,"Justin Hardy"
14007,10318,"Lance Kendricks"
17830,12700,"Austin Johnson"
13726,10123,"Logan Paulsen"
17807,12687,"Shaq Lawson"
17187,11337,"Darren Fells"
17981,12841,"Stephen Weatherly"
15802,11280,"Star Lotulelei"
18828,13874,"Shaun Wilson"
17855,12758,"Jonathan Bullard"
17674,12197,"Breshad Perriman"
18616,13740,"P.J. Hall"
13264,9864,"Morgan Burnett"
18467,13418,"Kendrick Bourne"
13233,9875,"Tyson Alualu"
13940,11101,"James Develin"
15850,11289,"Bennie Logan"
18631,13744,"Nathan Shepherd"
18818,13722,"Blake Jarwin"
17900,12785,"Demarcus Robinson"
14908,10721,"Michael Floyd"
18214,13168,"Josh Reynolds"
17949,12816,"David Morgan"
16813,11647,"Logan Thomas"
18430,13445,"Antony Auclair"
17910,12792,"Seth DeValve"
18529,13505,"Marvin Hall"
17643,12188,"Phillip Dorsett"
18603,13634,"Dante Pettis"
18241,13278,"Delano Hill"
14019,10322,"Jarvis Jenkins"
15403,10940,"Derek Carrier"
14215,10398,"Lee Smith"
15974,11249,"Dion Sims"
14100,10410,"Dwayne Harris"
18657,13753,"Jordan Akins"
15204,11007,"Garrett Celek"
18232,13195,"Jordan Leggett"
18485,13455,"Patrick Ricard"
18153,13065,"Eric Tomlinson"
18690,13621,"Kalen Ballage"
17973,12833,"Rico Gathers"
17295,12002,"Ethan Westbrooks"
15503,10956,"Deonte Thompson"
17660,12206,"Maxx Williams"
18881,12566,"Isaiah Johnson"
15980,11252,"Levine Toilolo"
17287,11821,"Chris Smith"
16055,11432,"Benny Cunningham"
18879,13919,"Anthony Firkser"
18696,13772,"Dalton Schultz"
18831,13585,"Brandon Zylstra"
18716,13675,"Tyler Conklin"
16270,11537,"Rashaan Melvin"
17646,12360,"Christian Covington"
18464,13391,"Jacob Hollister"
12570,9452,"Darrius Heyward-Bey"
14902,10747,"Orson Charles"
18849,13880,"Dan Arnold"
18346,13315,"Eric Saubert"
18660,13678,"Ian Thomas"
17703,12177,"Kevin White"
18024,12868,"Ben Braunecker"
18533,13072,"Branden Jackson"
18257,13194,"Jeremy Sprinkle"
17138,11886,"Damien Williams"
18798,13724,"Richie James"
16366,11474,"Zach Line"
18417,13209,"Caleb Brantley"
18384,13275,"Montravius Adams"
8544,7942,"Darren Sproles"
18101,11701,"Xavier Grimble"
18619,13631,"James Washington"
17580,12155,"Ameer Abdullah"
18302,13158,"Dede Westbrook"
17884,12775,"Ryan Smith"
18606,13633,"Christian Kirk"
15653,10985,"Jamize Olawale"
18353,13292,"Montae Nicholson"
17895,12639,"Tyler Ervin"
18234,13279,"Cordrea Tankersley"
18557,13529,"JoJo Natson"
18058,12913,"Alex Erickson"
11291,9073,"Chad Henne"
17455,12381,"Trevor Siemian"
12477,9714,"Brian Hoyer"
18028,12476,"Taylor Heinicke"
17399,12140,"Jameis Winston"
17533,12145,"Sean Mannion"
18328,13114,"DeShone Kizer"
17957,12823,"Derek Watt"
14163,10413,"Tyrod Taylor"
18841,13488,"Zach Pascal"
18844,12394,"DeAndre Carter"
17921,12636,"Wendell Smallwood"
18229,13119,"Joshua Dobbs"
12471,9706,"Chase Daniel"
14878,10698,"Brandon Weeden"
8644,8042,"Matt Cassel"
18897,13968,"Nick Mullens"
16821,11835,"David Fales"
16810,11643,"AJ McCarron"
17613,12142,"Brett Hundley"
15864,11150,"Geno Smith"
5615,7480,"Matt Schaub"
3609,6589,"Josh McCown"
17927,12618,"Kevin Hogan"
16728,11640,"Teddy Bridgewater"
18089,12934,"Chester Rogers"
18459,13124,"Cooper Rush"
17601,12183,"Rashad Greene"
13987,10262,"Blaine Gabbert"
18050,12464,"Damiere Byrd"
14924,10729,"T.Y. Hilton"
15826,11193,"Giovani Bernard"
18286,13142,"T.J. Logan"
13217,9831,"Golden Tate"
13980,10260,"Patrick Peterson"
14167,10368,"Taiwan Jones"
17209,11964,"Senorise Perry"
1097,2842,"Adam Vinatieri"
1440,3494,"Phil Dawson"
4333,6789,"Matt Bryant"
5526,7391,"Eli Manning"
5528,7393,"Larry Fitzgerald"
8627,8025,"Derek Anderson"
9614,8269,"Marcedes Lewis"
9793,8448,"Antoine Bethea"
10487,8712,"Drew Stanton"
10611,8843,"Corey Graham"
11284,9051,"Calais Campbell"
12424,9438,"Vontae Davis"
12426,9430,"Malcolm Jenkins"
12436,9442,"Michael Johnson"
12762,9749,"Michael Bennett"
13197,9817,"Sam Bradford"
13228,9838,"Jermaine Gresham"
13239,9826,"Brandon Graham"
13252,9816,"Eric Berry"
13274,9825,"Carlos Dunlap"
13292,9919,"Corey Peters"
13311,9868,"Geno Atkins"
13336,9947,"Kam Chancellor"
13338,10074,"Barry Church"
13939,10220,"Andrew Sendejo"
13983,10261,"A.J. Green"
13992,10265,"Marcell Dareus"
14010,10341,"Shareece Wright"
14012,10313,"Andy Dalton"
14036,10320,"Jabaal Sheard"
14133,10408,"Byron Maxwell"
14874,10695,"Andrew Luck"
14875,10696,"Robert Griffin III"
14876,10697,"Ryan Tannehill"
14877,10699,"Nick Foles"
14894,10714,"Robert Turbin"
14901,10742,"Dwayne Allen"
14912,10722,"Alshon Jeffery"
14914,10735,"Brian Quick"
14927,10753,"Chandler Jones"
14940,10778,"Dre Kirkpatrick"
14941,10762,"Fletcher Cox"
14974,10779,"Janoris Jenkins"
14989,10810,"Trumaine Johnson"
15003,10838,"Rhett Ellison"
15047,10846,"Malik Jackson"
15091,10862,"Randy Bullock"
15235,11010,"Tashaun Gipson"
15319,11601,"Ryan Davis"
15351,11524,"Derrick Coleman"
15478,10932,"Brandon Bolden"
15564,11570,"Brittan Golden"
15775,11343,"Ifeanyi Momah"
15785,11267,"Ezekiel Ansah"
15794,11346,"D.J. Hayden"
15813,11324,"Kenny Vaccaro"
15825,11192,"Le'Veon Bell"
15835,11247,"Zach Ertz"
15844,11274,"Margus Hunt"
15866,11318,"Jamar Taylor"
15877,11330,"Shawn Williams"
15906,11402,"Stacy McGee"
15939,11363,"B.W. Webb"
16010,11273,"John Simon"
16227,11237,"Russell Shepard"
16504,11516,"Jack Doyle"
16528,11491,"Benson Mayowa"
16562,11512,"A.J. Bouye"
16718,11737,"Darqueze Dennard"
16724,11642,"Blake Bortles"
16732,11695,"Eric Ebron"
16763,11676,"Jordan Matthews"
16777,11657,"Carlos Hyde"
16791,11677,"Donte Moncrief"
17136,11957,"Dontrelle Inman"
17179,11812,"Ryan Grant"
17214,11802,"Tre Boston"
17228,11815,"Bene Benwikere"
17293,12008,"Kerry Wynn"
17385,11739,"Aaron Colvin"
17389,12083,"Denico Autry"
17441,12330,"James O'Shaughnessy"
17442,12171,"David Johnson"
17448,12274,"Jaquiski Tartt"
17451,12286,"Craig Mager"
17478,12338,"Geremy Davis"
17490,12213,"Blake Bell"
17491,12290,"Geneo Grissom"
17514,12319,"J.J. Nelson"
17543,12295,"Clayton Geathers"
17549,12955,"Chris Manhertz"
17564,12317,"C.J. Uzomah"
17600,12184,"Jamison Crowder"
17604,12207,"Nick O'Leary"
17654,12276,"Ronald Darby"
17664,12278,"Markus Golden"
17668,12181,"Nelson Agholor"
17678,12153,"T.J. Yeldon"
17692,12250,"Landon Collins"
17704,12161,"Cameron Artis-Payne"
17746,12417,"Josh Lambo"
17751,11931,"Bennie Fowler"
17790,12585,"Daniel Brown"
17795,12610,"Carson Wentz"
17796,12686,"Joey Bosa"
17798,12711,"Jalen Ramsey"
17812,12737,"William Jackson"
17816,12696,"Robert Nkemdiche"
17822,12676,"Hunter Henry"
17826,12690,"Noah Spence"
17827,12658,"Sterling Shepard"
17840,12650,"Tyler Boyd"
17852,12756,"Yannick Ngakoue"
17869,12627,"C.J. Prosise"
17870,12616,"Jacoby Brissett"
17872,12617,"Cody Kessler"
17892,12780,"Hassan Ridgeway"
17897,12699,"Andrew Billings"
17918,12631,"Paul Perkins"
17948,12815,"Nate Sudfeld"
17958,12824,"Cody Core"
17963,12827,"Harlan Miller"
17965,12623,"Jeff Driskel"
17972,12832,"Darius Jackson"
17987,12716,"Jalen Mills"
17989,12845,"Dwayne Washington"
17994,12673,"Charone Peake"
18031,11904,"Erik Swoope"
18037,12731,"Eli Rogers"
18052,12398,"Jordan Taylor"
18105,12987,"Kerry Hyder"
18126,13044,"Matt Lengel"
18163,12950,"Joel Heath"
18165,13241,"Aldrick Rosas"
18169,13280,"Chad Williams"
18174,13272,"Eddie Vanderdoes"
18178,13303,"Jake Elliott"
18193,13131,"Joe Mixon"
18194,13133,"Samaje Perine"
18196,13134,"D'Onta Foreman"
18202,13169,"Jehu Chesson"
18211,13234,"Marlon Mack"
18216,13235,"Josh Malone"
18218,13129,"Leonard Fournette"
18233,13135,"Wayne Gallman"
18255,13260,"Dalvin Tomlinson"
18260,13128,"Dalvin Cook"
18281,13228,"Malik Hooker"
18298,13324,"Tanzel Smart"
18300,13170,"Shelton Gibson"
18308,13251,"Budda Baker"
18311,13255,"Quincy Wilson"
18313,13144,"Elijah McGuire"
18329,13281,"Rasul Douglas"
18381,13204,"Charles Harris"
18382,13189,"Evan Engram"
18395,13155,"John Ross"
18397,13207,"Jordan Willis"
18416,13240,"Brian Hill"
18425,13136,"Corey Clement"
18431,13382,"Ricky Seals-Jones"
18446,12544,"Deshazor Everett"
18461,11894,"David Fluellen"
18465,13150,"Justin Davis"
18466,13412,"Keelan Cole"
18481,12542,"Brandon King"
18516,13017,"Curtis Riley"
18523,12976,"Antonio Hamilton"
18567,13604,"Saquon Barkley"
18570,13589,"Josh Allen"
18572,13591,"Josh Rosen"
18574,13692,"Vita Vea"
18587,13695,"Taven Bryan"
18589,13607,"Sony Michel"
18597,13606,"Ronald Jones"
18608,13674,"Dallas Goedert"
18611,13735,"Kemoko Turay"
18613,13737,"Jessie Bates"
18628,13742,"B.J. Hill"
18644,13749,"Rashaan Gaulden"
18652,13715,"Ronnie Harrison"
18663,13622,"Nyheim Hines"
18667,13601,"Kyle Lauletta"
18671,13616,"Mark Walton"
18693,13726,"Chase Edmonds"
18703,13776,"Justin Watson"
18721,13658,"Jordan Lasley"
18724,13613,"Jaylen Samuels"
18728,13789,"Jordan Wilkins"
18730,13598,"Mike White"
18735,13619,"John Kelly"
18753,13809,"Russell Gage"
18784,13830,"David Williams"
18809,13620,"Justin Jackson"
18816,13611,"Josh Adams"
18848,13916,"Buddy Howell"
18851,13893,"Trent Sherfield"
18854,13623,"Darrel Williams"
18855,12499,"Gabe Holmes"
18858,13940,"Johnny Mundt"
18860,13912,"Cameron Batson"
18862,13503,"Marcus Kemp"
18898,13963,"KhaDarel Hodge"
18908,13939,"George Odum"
18909,13979,"David Grinnage"
